short_name,station_id,legacy_id,capacity,name,lat,lon,date,year
2932.03,d946ce73-5487-4ab7-b429-cf873e9af5b5,4450,0,Wakeman Pl & Ridge Blvd,40.639421,-74.026823,2021-05-08,2021
2951.05,3ac37967-e174-421a-bfeb-d02249fb1266,4401,25,55 St & 7 Ave,40.639673,-74.008957,2024-09-26,2024
2951.05,3ac37967-e174-421a-bfeb-d02249fb1266,4401,25,55 St & 7 Ave,40.639673,-74.008957,2023-03-22,2023
2951.05,3ac37967-e174-421a-bfeb-d02249fb1266,4401,25,55 St & 7 Ave,40.639673,-74.008957,2022-12-12,2022
2951.05,3ac37967-e174-421a-bfeb-d02249fb1266,4401,25,55 St & 7 Ave,40.639673,-74.008957,2021-09-22,2021
2961.03,4402,4402,0,5 Ave & 59 St,40.640028,-74.015697,2021-03-18,2021
2961.05,0b857ee5-3d10-4152-952e-95fbaf06677a,4484,30,59 St & 5 Ave,40.640125,-74.015726,2024-09-26,2024
2961.05,0b857ee5-3d10-4152-952e-95fbaf06677a,4484,30,59 St & 5 Ave,40.640125,-74.015726,2023-03-22,2023
2961.05,0b857ee5-3d10-4152-952e-95fbaf06677a,4484,30,59 St & 5 Ave,40.640125,-74.015726,2022-12-12,2022
2961.05,0b857ee5-3d10-4152-952e-95fbaf06677a,4484,30,59 St & 5 Ave,40.640125,-74.015726,2021-09-22,2021
2971.02,4dde902d-512c-4e9e-8899-a68424ed87c0,4397,35,64 St & 3 Ave,40.639978,-74.02324,2024-09-26,2024
2971.02,4dde902d-512c-4e9e-8899-a68424ed87c0,4397,35,64 St & 3 Ave,40.639978,-74.02324,2023-03-22,2023
2971.02,4dde902d-512c-4e9e-8899-a68424ed87c0,4397,35,64 St & 3 Ave,40.639978,-74.02324,2022-12-12,2022
2971.02,4dde902d-512c-4e9e-8899-a68424ed87c0,4397,35,64 St & 3 Ave,40.639978,-74.02324,2021-09-22,2021
2984.04,1814907277023901890,1814907277023901890,25,Cortelyou Rd & Argyle Rd,40.64034,-73.96603,2024-09-26,2024
3000.08,9789dc0f-1eb6-4830-bda9-1ce5f1413e19,4394,19,6 Ave & 55 St,40.640831,-74.010996,2024-09-26,2024
3000.08,9789dc0f-1eb6-4830-bda9-1ce5f1413e19,4394,19,6 Ave & 55 St,40.640831,-74.010996,2023-03-22,2023
3000.08,9789dc0f-1eb6-4830-bda9-1ce5f1413e19,4394,19,6 Ave & 55 St,40.640831,-74.010996,2022-12-12,2022
3000.08,9789dc0f-1eb6-4830-bda9-1ce5f1413e19,4394,19,6 Ave & 55 St,40.640831,-74.010996,2021-09-22,2021
3007.05,180b83a0-329c-4069-87be-df862cb1baed,4378,23,Church Ave & Story St,40.642031,-73.981073,2024-09-26,2024
3007.05,180b83a0-329c-4069-87be-df862cb1baed,4378,23,Church Ave & Story St,40.642031,-73.981073,2023-03-22,2023
3007.05,180b83a0-329c-4069-87be-df862cb1baed,4378,23,Church Ave & Story St,40.642031,-73.981073,2022-12-12,2022
3007.05,180b83a0-329c-4069-87be-df862cb1baed,4378,23,Church Ave & Story St,40.642031,-73.981073,2021-09-22,2021
3011.03,178bad16-1b02-4264-94c0-a8fd0faa60fe,4403,35,59 St & 4 Ave,40.641269,-74.017651,2024-09-26,2024
3011.03,178bad16-1b02-4264-94c0-a8fd0faa60fe,4403,35,59 St & 4 Ave,40.641269,-74.017651,2023-03-22,2023
3011.03,178bad16-1b02-4264-94c0-a8fd0faa60fe,4403,35,59 St & 4 Ave,40.641269,-74.017651,2022-12-12,2022
3011.03,178bad16-1b02-4264-94c0-a8fd0faa60fe,4403,35,59 St & 4 Ave,40.641269,-74.017651,2021-09-22,2021
3019.02,93da4d1b-d574-45b0-85d7-5b82e2887267,4398,21,65 St & 2 Ave,40.640493,-74.02564,2024-09-26,2024
3019.02,93da4d1b-d574-45b0-85d7-5b82e2887267,4398,21,65 St & 2 Ave,40.640493,-74.02564,2023-03-22,2023
3019.02,93da4d1b-d574-45b0-85d7-5b82e2887267,4398,21,65 St & 2 Ave,40.640493,-74.02564,2022-12-12,2022
